prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,throughput_normalized,edp_efficiency_normalized,reward,end_to_end_latency
0,0,1,127.3154708,5.7371,6.050746441,0.0041,0.0624,20.5889,60.5,0.656851667,False,False,False,19.34775072,0.001369072,0.18877317533000182,0.0,18.9488,22.229,0.0654,5.6717,11,100,18.9488,22.229,0.00034190564030627544,0.5518480608296591,0.18877317533000182,5.737100000000001
1,0,1,127.0399036,5.7229,6.043297052,0.0038,0.0542,20.6693,60.6,0.655511667,False,False,False,19.22102095,0.001375446,0.19096454421529882,0.0,19.109,22.2296,0.057,5.6659,10,100,19.109,22.2296,0.00019673346568954347,0.5558311337072699,0.19096454421529882,5.7229
2,0,1,126.6547523,5.722,6.044509411,0.0036,0.0538,20.6031,61.3,0.656615,False,False,False,19.04928014,0.001379846,0.1982961365317896,0.0,19.0407,22.1655,0.0564,5.6656,9,100,19.0407,22.1655,0.0,0.5585806662867313,0.1982961365317896,5.722
3,0,1,125.9105582,5.7344,6.05557394,0.0038,0.0581,20.5311,62.3,0.657815,False,False,False,19.53124659,0.001385,0.20914974792430535,0.0,19.0743,21.9879,0.0607,5.6737,12,100,19.0743,21.9879,0.000552104826188872,0.5618013687673096,0.20914974792430535,5.7344
8,0,1,127.1279089,5.7204,6.041270733,0.0036,0.0506,20.88895,62.6,0.651850833,False,False,False,19.22942115,0.001375095,0.20940907179891755,0.0,19.529,22.2489,0.0532,5.6672,10,100,19.529,22.2489,0.00020635610842941067,0.555611795994681,0.20940907179891755,5.720400000000001
5,0,1,126.6518895,5.7184,6.039113045,0.0037,0.052,20.7604,61.5,0.653993333,False,False,False,19.06127255,0.001380746,0.2003684152931145,0.0,19.3457,22.1751,0.0545,5.6639,9,100,19.3457,22.1751,1.3737610654510135e-05,0.5591430706779849,0.2003684152931145,5.7184
7,0,1,126.6818158,5.722,6.039464951,0.0036,0.0507,20.8057,63.8,0.653238333,False,False,False,19.22404418,0.001379551,0.22161799328834553,0.0,19.4467,22.1647,0.0532,5.6688,10,100,19.4467,22.1647,0.0002001966525434813,0.5583963226251537,0.22161799328834553,5.722
4,0,1,126.9940861,5.7263,6.046305656,0.004,0.0527,20.80825,62.2,0.653195833,False,False,False,20.08277246,0.001375126,0.20632938384390723,0.0,19.412,22.2045,0.0557,5.6706,15,100,19.412,22.2045,0.0011838917370724385,0.5556311677014908,0.20632938384390723,5.7263
6,0,1,126.4016997,5.7175,6.037153244,0.0036,0.0514,20.70605,61.7,0.654899167,False,False,False,19.2391746,0.001383697,0.2030292021103487,0.0,19.2773,22.1348,0.0539,5.6636,10,100,19.2773,22.1348,0.00021752893346109245,0.5609871321875282,0.2030292021103487,5.717499999999999
9,0,1,127.5530341,5.7174,6.040603638,0.0034,0.0505,21.1068,63.6,0.64822,False,False,False,19.2395111,0.001371231,0.21772310261780708,0.0,19.8813,22.3323,0.0529,5.6645,10,100,19.8813,22.3323,0.00021791440276920353,0.5531972064748994,0.21772310261780708,5.7174000000000005
