prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,inverse_energy_normalized,headroom_threshold_met,energy_min,energy_max,throughput_normalized,edp_efficiency_normalized,performance_metric.1,reward,early_exit_layer,avg_entropy
10,10,32,174.39761382,4.2054,4.719233512878418,0.0128,0.082,37.43155,88.54965,0.3761408333333333,False,False,False,882.6744465034369,0.001363490607435,0.7992873003306974,0.0,33.2218,41.6413,0.0856,4.1198,512,3200,33.2218,41.6413,0.7992873003306974,True,109.66024753000002,432.19771724,0.9580777276744484,0.6127723574044088,0.7992873003306974,0.7992873003306974,6,7.6422
10,10,26,165.94141649999997,4.1982,4.713869333267212,0.011,0.0746,36.6066,88.76035,0.38989,False,False,False,712.2098251131854,0.0014354302099149,0.8255050211046688,0.0,33.5737,39.6395,0.078,4.1202,390,2600,33.5737,39.6395,0.8255050211046688,True,109.66024753000002,432.19771724,0.771421050767604,0.648152805632806,0.8255050211046688,0.8255050211046688,14,3.5248
10,10,16,152.22118136999998,4.2183,4.731349229812622,0.0082,0.0546,33.86445,89.13964999999999,0.4355925,False,False,False,436.1945721749112,0.0015573543785571,0.8680434435159817,0.0,31.5804,36.1485,0.0578,4.1605,240,1600,31.5804,36.1485,0.8680434435159817,True,109.66024753000002,432.19771724,0.4691877224154798,0.708116046848093,0.8680434435159817,0.8680434435159817,10,5.1351
10,10,8,139.44544316,4.218999999999999,4.739540576934815,0.0058,0.0525,30.8114,88.7748,0.4864766666666666,False,False,False,218.0611002462432,0.0016997542942676,0.9076535335358696,0.0,28.5106,33.1122,0.0554,4.1636,120,800,28.5106,33.1122,0.9076535335358696,True,109.66024753000002,432.19771724,0.2303342368048515,0.7781494175069327,0.9076535335358696,0.9076535335358696,8,6.5385
10,10,5,135.79855422000003,4.2374,4.753451585769653,0.0049,0.0522,29.22645,89.2316,0.5128925,False,False,False,132.1564798800019,0.0017378223995819,0.9189604026053112,0.0,26.3301,32.1228,0.055,4.1824,60,500,26.3301,32.1228,0.9189604026053112,True,109.66024753000002,432.19771724,0.1362697274789087,0.7968716036574863,0.9189604026053112,0.9189604026053112,4,8.3124
10,10,4,133.61829185,4.2154,4.725122213363648,0.0044,0.0516,28.77305,88.68950000000001,0.5204491666666667,False,False,False,107.22586060021337,0.0017753962266725,0.9257201206993372,0.0,25.7714,31.7747,0.0541,4.1613,52,400,25.7714,31.7747,0.9257201206993372,True,109.66024753000002,432.19771724,0.1089710040837376,0.8153506999868235,0.9257201206993372,0.9257201206993372,4,8.1417
10,10,3,133.01262507,4.2327,4.741922378540039,0.004,0.0519,28.2999,89.08345,0.528335,False,False,False,79.38193602619226,0.0017761909236476,0.927597939051867,0.0,25.0925,31.5073,0.0543,4.1784,36,300,25.0925,31.5073,0.927597939051867,True,109.66024753000002,432.19771724,0.0784822469994549,0.8157415380539643,0.927597939051867,0.927597939051867,4,8.4526
10,10,2,131.392139,4.2505,4.760647773742676,0.0036,0.0512,27.91725,88.763,0.5347125,False,False,False,52.229137224059,0.0017905670811948,0.9326221183246102,0.0,24.845,30.9895,0.0535,4.197,22,200,24.845,30.9895,0.9326221183246102,True,109.66024753000002,432.19771724,0.0487502641880573,0.8228118425912473,0.9326221183246102,0.9326221183246102,12,3.9267
10,10,1,128.83894029,4.1972000000000005,4.715149641036987,0.0031,0.0499,27.97045,88.68225,0.5338258333333333,False,False,False,26.207941911764525,0.0018492396255961,0.9405380938306364,0.0,25.1751,30.7658,0.0521,4.1451,10,100,25.1751,30.7658,0.9405380938306364,True,109.66024753000002,432.19771724,0.0202573733669323,0.8516674499070599,0.9405380938306364,0.9405380938306364,8,6.1161
10,9,32,165.61492357999998,4.1965,4.716245651245117,0.013,0.0795,32.63545,89.0146,0.4560758333333333,False,False,False,869.2956346251318,0.0014388426524708,0.8265172846419674,0.0,25.5239,39.747,0.0832,4.1133,448,3200,25.5239,39.747,0.8265172846419674,True,109.66024753000002,432.19771724,0.9434280921911466,0.649831071052949,0.8265172846419674,0.8265172846419674,10,5.2247
